nohup: ignoring input
4500000
(4500000, 1500)
('shape of sum array', (4500000,))
('shape of correlations', (1500, 4500000))
('sum of correlations, sum of row sums', 14300030, 14300030)
block_size_x=32, f_unroll=1, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 205.714691162 ms.
block_size_x=32, f_unroll=1, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 127.476760864 ms.
block_size_x=32, f_unroll=1, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 130.437036133 ms.
block_size_x=32, f_unroll=1, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 196.102606201 ms.
block_size_x=32, f_unroll=1, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 250.244076538 ms.
block_size_x=32, f_unroll=2, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 176.665011597 ms.
block_size_x=32, f_unroll=2, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 127.582009888 ms.
block_size_x=32, f_unroll=2, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 127.915428162 ms.
block_size_x=32, f_unroll=2, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 193.484320068 ms.
block_size_x=32, f_unroll=2, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 249.41595459 ms.
block_size_x=32, f_unroll=3, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 185.005502319 ms.
block_size_x=32, f_unroll=3, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 133.771374512 ms.
block_size_x=32, f_unroll=3, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 137.130303955 ms.
block_size_x=32, f_unroll=3, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 193.857247925 ms.
block_size_x=32, f_unroll=3, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 255.305609131 ms.
block_size_x=32, f_unroll=4, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 193.542980957 ms.
block_size_x=32, f_unroll=4, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 150.757791138 ms.
block_size_x=32, f_unroll=4, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 134.948388672 ms.
block_size_x=32, f_unroll=4, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 202.555895996 ms.
block_size_x=32, f_unroll=4, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 253.542767334 ms.
block_size_x=32, f_unroll=5, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 192.031759644 ms.
block_size_x=32, f_unroll=5, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 152.653225708 ms.
block_size_x=32, f_unroll=5, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 139.051776123 ms.
block_size_x=32, f_unroll=5, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 203.795349121 ms.
block_size_x=32, f_unroll=5, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 253.74864502 ms.
block_size_x=32, f_unroll=6, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 210.542825317 ms.
block_size_x=32, f_unroll=6, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 169.113247681 ms.
