nohup: ignoring input
4500000
(4500000, 1500)
('hits ', 14321674, 14321674)
block_size_x=32, f_unroll=1, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 203.904962158 ms.
block_size_x=32, f_unroll=1, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 116.903929138 ms.
block_size_x=32, f_unroll=1, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 192.509332275 ms.
block_size_x=32, f_unroll=1, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 198.789849854 ms.
block_size_x=32, f_unroll=1, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 246.10385437 ms.
block_size_x=32, f_unroll=1, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 204.026849365 ms.
block_size_x=32, f_unroll=1, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 116.940127563 ms.
block_size_x=32, f_unroll=1, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 192.536776733 ms.
block_size_x=32, f_unroll=1, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 196.684127808 ms.
block_size_x=32, f_unroll=1, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 246.21661377 ms.
block_size_x=32, f_unroll=2, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 153.945336914 ms.
block_size_x=32, f_unroll=2, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 116.998887634 ms.
block_size_x=32, f_unroll=2, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 211.814541626 ms.
block_size_x=32, f_unroll=2, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 192.051101685 ms.
block_size_x=32, f_unroll=2, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 249.623291016 ms.
block_size_x=32, f_unroll=2, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 153.960375977 ms.
block_size_x=32, f_unroll=2, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 117.031481934 ms.
